Survived,Sex,Name,Age,SibSp,Parch,Pclass
0,male,"Alexander, Mr. William",26,0,0,1
1,male,"Andersson, Mr. August Edvard (""Wennerstrom"")",27,0,0,3
0,male,"Andrew, Mr. Edgardo Samuel",18,0,0,2
0,male,"Attalah, Mr. Sleiman",30,0,0,3
1,female,"Ayoub, Miss. Banoura",13,0,0,3
1,female,"Ball, Mrs. (Ada E Hall)",36,0,0,2
1,female,"Bazzani, Miss. Albina",32,0,0,1
0,male,"Boulos, Mr. Hanna",18,0,0,3
0,female,"Boulos, Mrs. Joseph (Sultana)",40,0,2,3
0,male,"Bracken, Mr. James H",27,0,0,2
1,female,"Brown, Miss. Amelia ""Mildred""",24,0,0,2
0,male,"Cairns, Mr. Alexander",28,0,0,1
0,male,"Campbell, Mr. William",21,0,0,2
0,male,"Carrau, Mr. Francisco M",28,0,0,1
0,male,"Coleff, Mr. Peju",36,0,0,3
1,female,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",31,1,1,2
0,male,"Connaghton, Mr. Michael",31,0,0,3
1,female,"Crosby, Miss. Harriet R",36,0,2,1
1,female,"Davison, Mrs. Thomas Henry (Mary E Finck)",32,1,0,3
1,female,"De Messemaeker, Mrs. Guillaume Joseph (Emma)",36,1,0,3
0,male,"Doharr, Mr. Tannous",28,0,0,3
0,male,"Dooley, Mr. Patrick",32,0,0,3
0,male,"Drazenoic, Mr. Jozef",33,0,0,3
1,female,"Duran Y More, Miss. Asuncion",27,1,0,2
1,female,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29,1,0,2
0,female,"Ford, Miss. Doolina Margaret ""Daisy""",21,2,2,3
0,male,"Gaskell, Mr. Alfred",16,0,0,2
0,male,"Giglio, Mr. Victor",24,0,0,1
1,female,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",47,1,0,1
0,male,"Goncalves, Mr. Manuel Estanslas",38,0,0,3
1,male,"Hamalainen, Master. Viljo",0.67,1,1,2
0,male,"Hampe, Mr. Leon",20,0,0,3
0,male,"Harper, Rev. John",28,0,1,2
0,male,"Harrington, Mr. Charles H",37,0,0,1
0,male,"Harrison, Mr. William",40,0,0,1
0,female,"Henry, Miss. Delia",21,0,0,3
1,female,"Hewlett, Mrs. (Mary D Kingcome)",55,0,0,2
1,female,"Icard, Miss. Amelie",38,0,0,1
0,male,"Jardin, Mr. Jose Neto",21,0,0,3
1,female,"Jermyn, Miss. Annie",26,0,0,3
1,male,"Johannesen-Bratthammer, Mr. Bernt",29,0,0,3
0,female,"Johnston, Miss. Catherine Helen ""Carrie""",7,1,2,3
0,male,"Johnston, Mr. Andrew G",8,1,2,3
0,male,"Karaic, Mr. Milan",30,0,0,3
1,female,"Keane, Miss. Nora A",46,0,0,2
1,female,"Kenyon, Mrs. Frederick R (Marion)",41,1,0,1
0,male,"Kirkland, Rev. Charles Leonard",57,0,0,2
1,male,"Leeni, Mr. Fahim (""Philip Zenni"")",22,0,0,3
0,male,"Lefebre, Master. Henry Forbes",5,3,1,3
0,female,"Lefebre, Miss. Ida",3,3,1,3
0,female,"Lefebre, Miss. Jeannie",8,3,1,3
0,female,"Lefebre, Miss. Mathilde",12,3,1,3
1,female,"Leroy, Miss. Bertha",30,0,0,1
1,male,"Lesurer, Mr. Gustave J",35,0,0,1
1,female,"Lurette, Miss. Elise",58,0,0,1
1,female,"Maioni, Miss. Roberta",16,0,0,1
0,male,"Mallet, Mr. Albert",31,1,1,2
1,male,"Mamee, Mr. Hanna",18,0,0,3
1,female,"Mannion, Miss. Margareth",28,0,0,3
1,female,"Mcdermott, Miss. Brigdet Delia",31,0,0,3
1,female,"Mcgovern, Miss. Mary",22,0,0,3
1,female,"Mcgowan, Miss. Anna ""Annie""",15,0,0,3
0,female,"Meanwell, Miss. (Marion Ogden)",62,0,0,3
0,female,"Meek, Mrs. Thomas (Annie Louise Rowley)",31,0,0,3
0,male,"Meo, Mr. Alfonzo",55.5,0,0,3
0,male,"Mionoff, Mr. Stoytcho",28,0,0,3
1,female,"Mockler, Miss. Helen Mary ""Ellie""",23,0,0,3
1,female,"Murphy, Miss. Katherine ""Kate""",25,1,0,3
1,female,"Najib, Miss. Adele Kiamie ""Jane""",15,0,0,3
